country,gdp
Afghanistan,2000
Albania,11900
Algeria,14400
American Samoa,13000
Andorra,37200
Angola,7600
Anguilla,0
Antigua,23700
Argentina,22400
Armenia,8400
Aruba,25300
Australia,65400
Austria,47500
Azerbaijan,18700
Bahamas,25600
Bahrain,51200
Bangladesh,3600
Barbados,16700
Belarus,17800
Belgium,44100
Belize,8600
Benin,2000
Bermuda,85700
Bhutan,8200
Bolivia,6500
Bosnia-Herzegovina,10200
Botswana,17700
Brazil,15800
British Virgin Islands,42300
Brunei,79700
Bulgaria,18400
Burkina Faso,1800
Burma,5200
Burundi,900
Cabo Verde,6700
Cambodia,3500
Cameroon,3200
Canada,45900
Cayman Islands,43800
Central African Republic,600
Chad,2800
Chile,23800
China,14300
Colombia,14000
Comoros,1600
Democratic Republic of Congo,800
"Congo, Republic of the",6800
Cook Islands,12300
Costa Rica,15500
Cote d'Ivoire,3400
Croatia,21300
Cuba,10200
Curacao,15000
Cyprus,31000
Czech Republic,31500
Denmark,45800
Djibouti,3300
Dominica,11600
Dominican Republic,14900
Ecuador,11300
Egypt,11500
El Salvador,8300
Equatorial Guinea,33300
Eritrea,1200
Estonia,28700
Ethiopia,1700
European Union,37800
Falkland Islands (Islas Malvinas),55400
Faroe Islands,30500
Fiji,8800
Finland,41200
France,41400
French Polynesia,26100
Gabon,21700
Gambia,1700
Georgia,9500
Germany,47400
Ghana,4300
Gibraltar,43000
Greece,25600
Greenland,37900
Grenada,13000
Guam,30500
Guatemala,7900
Guernsey,52300
Guinea,1300
Guinea-Bissau,1500
Guyana,7200
Haiti,1800
Honduras,5000
Hong Kong,57000
Hungary,26000
Iceland,46600
India,6300
Indonesia,11300
Iran,17800
Iraq,15500
Ireland,54300
Isle of Man,83100
Israel,34300
Italy,35800
Jamaica,8800
Japan,38200
Jersey,57000
Jordan,12400
Kazakhstan,24700
Kenya,3300
Kiribati,2200
North Korea,1800
South Korea,36700
Kosovo,0
Kuwait,72200
Kyrgyzstan,3400
Laos,5400
Latvia,24500
Lebanon,18600
Lesotho,3000
Liberia,900
Libya,15100
Liechtenstein,89400
Lithuania,28000
Luxembourg,102900
Macau,88700
Macedonia,14000
Madagascar,1500
Malawi,1200
Malaysia,26600
Maldives,13600
Mali,1800
Malta,34700
Marshall Islands,3400
Mauritania,4500
Mauritius,19500
Mexico,18500
"Micronesia, Federated States of",3000
Moldova,5000
Monaco,78700
Mongolia,12500
Montenegro,15700
Montserrat,8500
Morocco,8300
Mozambique,1300
Namibia,11300
Nauru,14800
Nepal,2500
Netherlands,49300
New Caledonia,38800
New Zealand,36400
Nicaragua,5000
Niger,1100
Nigeria,6400
Niue,5800
Northern Mariana Islands,13300
Norway,68400
Oman,46200
Pakistan,4900
Palau,14800
Palestine,2900
Panama,20900
Papua New Guinea,2800
Paraguay,8800
Peru,12300
Philippines,7500
Poland,26400
Portugal,27800
Puerto Rico,28500
Qatar,145000
Romania,20600
Soviet Union,23700
Russia,23700
Rwanda,1800
"Saint Helena, Ascension, and Tristan da Cunha",7800
Saint Kitts and Nevis,22800
Saint Lucia,12000
Saint Martin,19300
Saint Pierre and Miquelon,34900
Saint Vincent,11000
Samoa,5400
San Marino,62100
Sao Tome and Principe,3400
Saudi Arabia,54600
Senegal,2500
Serbia,13600
Seychelles,27000
Sierra Leone,1600
Singapore,85700
Sint Maarten,66800
Slovakia,29500
Slovenia,30900
Solomon Islands,2000
Somalia,400
South Africa,13400
South Sudan,2000
Spain,35200
Sri Lanka,11200
Sudan,4500
Suriname,16700
Swaziland,9800
Sweden,48000
Switzerland,59300
Syria,5100
Taiwan,47500
Tajikistan,2800
Tanzania,3000
Thailand,16100
Timor-Leste,5800
Togo,1500
Tokelau,1000
Tonga,5100
Trinidad,32800
Tunisia,11600
Turkey,20500
Turkmenistan,15600
Turks and Caicos Islands,29100
Tuvalu,3400
Uganda,2100
Ukraine,8000
United Arab Emirates,67000
UK,41200
USA,56300
Uruguay,21800
Uzbekistan,6100
Vanuatu,2600
Venezuela,16100
Vietnam,6100
Virgin Islands,36100
Wallis and Futuna,3800
West Bank,4300
Western Sahara,2500
Yemen,2800
Zambia,4300
Zimbabwe,2100
Ivory Coast,1150
Timor,1100
Gaza,6100
